title,show_id,type,director,cast,country,release_year,rating,duration,listed_in,description,platform
Jimmy O. Yang: Good Deal,s2020,TV Show,Sin Dato,Jimmy O. Yang,,2020,18+,1,"Arts, Entertainment, and Culture","In his debut standup special, Good Deal, Jimmy will tell you all about his take on Asian representation, how he learned to speak English from rap videos, dating tall women, and pursuing his dreams only to disappoint his old school Chinese parents. From assimilation to representation, Jimmy O. Yang delivers an absolutely hilarious hour of comedy in Good Deal.",amazon
Jim Henson's The Storyteller: Greek Myths,s2023,TV Show,Sin Dato,"Michael Gambon, Brian Henson, Derek Jacobi, Art Malik, Frances Barber, David Morrissey, Gina Bellman, John Wood, Lindsay Duncan",,1991,TV-PG,1,"Drama, Fantasy, Kids","This spin-off series features a new Storyteller, who finds himself trapped with his dog in the ruins of an ancient labyrinth. As he wanders deeper into the maze, he discovers artifacts in the rubble, each with a remarkable myth behind it. Now digitally remastered!",amazon
Jim Henson's The Storyteller,s2024,TV Show,Sin Dato,"John Hurt, Brian Henson, Sean Bean, Miranda Richardson, Jonathan Pryce, Jennifer Saunders, Gabrielle Anwar, Jane Horrocks",,1989,TV-PG,1,"Drama, Fantasy, Kids","This beautifully realized, BAFTA-award winning anthology series features human actors alongside creations from Jim Henson's Creature Shop in retellings of classic folk tales, fables, and legends from all over the world. Aided by his cynical dog, The Storyteller (performed by renowned actor John Hurt) narrates fascinating tales that combine humor, intrigue, and magic. Now digitally remastered!",amazon
Jim Henson's Jack and the Beanstalk: The Real Story,s2025,TV Show,Sin Dato,"Matthew Modine, Vanessa Redgrave, Mia Sara, Daryl Hannah, Jon Voight, Richard Attenborough, James Corden, Freddie Highmore",,2001,ALL,1,"Adventure, Fantasy","Wealthy developer Jack Robinson (Matthew Modine, Netflix's ""Stranger Things"") has big plans for his ""Magic Castle Resort and Casino"" – at least until the crew discovers the bones of a giant beneath the dig-site, setting into motion strange events that turn Jack's life upside down. Stunning visual effects from the Jim Henson Company bring this modern spin on the beloved fairy tale to life.",amazon
Jim Gaffigan: The Pale Tourist,s2026,TV Show,Sin Dato,Jim Gaffigan,United States,2020,13+,1,"Arts, Entertainment, and Culture, Comedy","Jim Gaffigan boldly goes where no stand-up comedian has gone before: everywhere! During the Pale Tourist global tour, Jim traveled the world meeting locals and learning about their culture. He then transformed those experiences into stand-up sets of all-new material specific to each country he visited. Watch as Jim brings his relatable brand of comedy to Spain and Canada in these two new specials.",amazon
Jim Gaffigan: Quality Time,s2027,TV Show,Sin Dato,Jim Gaffigan,,2019,13+,1,"Arts, Entertainment, and Culture, Comedy, Special Interest","[Premieres August 16, 2019] Jim Gaffigan is in top form for his 7th comedy special. The 4-time Grammy nominated comedian, doesn’t understand why we aren’t more honest about the reasons we don’t want to attend events, while at the same time embraces lying to kids. From horses and dog birthdays to traveling and museums, Jim continues to impress. Sit back and enjoy Quality Time with Jim Gaffigan!",amazon
Jesus: His Life,s2032,TV Show,Sin Dato,,,2019,TV-PG,1,"Documentary, Special Interest","""Jesus: His Life explores the story of Jesus Christ through the people in his life who were closest to him. Each of the 8 chapters is told from the perspective of different biblical figures, all of whom played a pivotal role – Joseph, John the Baptist, Mary Mother of Jesus, Caiaphas, Judas Iscariot, Pontius Pilate, Mary Magdalene and Peter.",amazon
Jestination Unknown,s2033,TV Show,Sin Dato,"Vir Das, Amit Tandon, Amogh Ranadive, Anu Menon, Ashwin Mushran, Manan Desai, Raj Sharma, Rohini Ramanathan, Shruti Seth, Suresh Menon",India,2019,16+,1,"Arts, Entertainment, and Culture, Comedy, Unscripted","Vir Das travels across India with his friends to answer the question: ""What does India find funny?"" In Patiala, they explore comedy and clichés. In Lucknow, the hasya kavis give a masterclass. In Jodhpur, the city welcomes new jesters. In Mysore, a Mysore joke is written. In Kumarakom, comedy after tragedy is explored. In Leh, even the people in the harshest region of the country laugh.",amazon
Jeremiah,s2036,TV Show,Sin Dato,"Luke Perry, Malcolm-Jamal Warner",,2004,TV-14,1,"Drama, Science Fiction","In the opening episodes of Season 2, Jeremiah and his allies face the increasing threat of the Valhalla Sector.",amazon
Jelly Jam,s2039,TV Show,Sin Dato,,,2011,ALL,1,"Animation, Kids","Join Bello and his Jelly Jamm friends as they share exciting adventures on their home planet of Jammbo, where music is born. Laugh and learn with these magical friends as they use fun and creativity to face their fears, solve everyday problems and learn to live together in happiness and harmony.",amazon
Jean Claude Van Johnson,s2048,TV Show,Sin Dato,"Moises Arias, Jean-Claude Van Damme, Kat Foster, Phylicia Rashad",United States,2017,16+,1,"Action, Comedy","What if I told you that Jean-Claude Van Damme - yes, THAT Jean-Claude Van Damme - was, in fact, a secret agent? That his entire film career was built solely as a front for his black ops? Would you believe me? No? Well then that’s egg on your face because that’s what this show is about.",amazon
Jayde Adams: Serious Black Jumper,s2050,TV Show,Sin Dato,Jayde Adams,,2020,16+,1,"Arts, Entertainment, and Culture, Comedy","Proud Bristolian and multi-award-winning comedian, Jayde Adams brings her latest stand-up show to the screen. If you want to be a ‘successful independent woman person’ you better have something to say and you better be wearing the feminist wardrobe staple; the Serious Black Jumper™.",amazon
James May's Cars of the People,s2059,TV Show,Sin Dato,James May,,2016,TV-PG,2,"Special Interest, Unscripted",James continues his exploration of cars used by ordinary people around the world.,amazon
James May: Our Man in Japan,s2060,TV Show,Sin Dato,James May,United Kingdom,2020,13+,1,Documentary,"James May embarks on a remarkable journey across Japan, from its icy north to its balmy south. He’ll see the sights, meet the locals, and eat the noodles in a bid to truly understand the Land of the Rising Sun.",amazon
James May: Oh Cook,s2061,TV Show,Sin Dato,"James May, Nikki Morgan",United Kingdom,2020,13+,1,Unscripted,"James May is not a chef. But that’s the whole point: you don’t need to be a brilliant cook to make delicious food. Transporting us to the Far East, the Med, and the local pub – all from the comfort of a home economist’s kitchen – he’ll knock up delicious recipes that you can actually make yourself, with ingredients you can actually buy. And all without the usual television cooking format trickery.",amazon
James Martins United Cakes of America,s2062,TV Show,Sin Dato,James Martin,,2013,ALL,1,Special Interest,"Behind the wheel of a classic American convertible, James will explore a country famed for great desserts. From the classic New York Cheesecake to the spectacular Philadelphia Pummple Cake, James will uncover the stories and the recipes that make these cakes great.",amazon
James Martin: Home Comforts,s2063,TV Show,Sin Dato,"James Martin, Annie Gray, Carol Steele",,2016,16+,3,Special Interest,"From his home in rural Hampshire, James Martin welcomes us once more into the heart of his own kitchen. He shares the secrets and stories behind the simple home cooked dishes that he loves to eat with his family and friends when he is off duty. James will also shine a spotlight on the best British food producers and home cooks launching innovative food products from their homes.",amazon
IRODUKU : The World in Colors,s2086,TV Show,Sin Dato,"Kaori Ishihara, Kaede Hondo, Shoya Chiba, Kana Ichinose, Nao Toyama",,2018,NR,1,TV Shows,"In a world in the future where magic is still a part of everyday life, 17-year-old Hitomi Tsukishiro, a descendant of a family of mages, lost the ability to see colors when young and has grown up into a girl devoid of emotion. Concerned for her future, Hitomi’s grandmother Kohaku decides to send her back through time to the year 2018, where she discovers a world where vivid colors spring forth.",amazon
Ip Man,s2087,TV Show,Wilson Yip,"Kevin Cheng, Chrissie Chau, Cecilia Han, Liu Xiafeng, Yu Rongguang, Bruce Leung","Hong Kong, China",2013,TV-MA,1,Action,"Based on the character made famous by Donnie Yen. The Wing Chun grandmaster Ip Man spends his life in pursuit of the authentic martial arts realm. Gaining enlightenment throughout his childhood and adolescence, Ip Man undergoes a transformation and becomes a Kung Fu legend. After fleeing to Hong Kong, Ip Man deliberately keeps a low-profile, but inevitably faces a life-and-death struggle.",amazon
INXS: Never Tear Us Apart,s2088,TV Show,Sin Dato,"Luke Arnold, Damon Herriman, Hugh Sheridan, Andrew Ryan, Alex Williams, Ido Drent, Nick Masters",,2014,16+,1,"Drama, Romance","The story of INXS, their personal lives and their rise to fame from Australian pubs to stadiums all around the world.",amazon
Invisible TOKYO (English Subtitled),s2089,TV Show,Sin Dato,"Tetsuya Komuro, Elaiza Ikeda, Akira Morikawa, Noriyoshi Murakami, Kotomi Kuga",,2017,TV-NR,1,TV Shows,"Music producer Tetsuya Komuro, model/actress Elaiza Ikeda, C-channel president Akira Morikawa, and Tokyo Girls Collection executive producer Noriyoshi Murakami.
What are the impacts of social networking? Have we evolved to live in this connected-yet-closed world? Or has it set us back?
We're living in an entangled world.
A world centered around girls.
Invisible TOKYO.",amazon
Invincible,s2091,TV Show,Ericson Core,"Steven Yeun, J.K. Simmons, Sandra Oh",United States,2021,TV-MA,1,"Action, Animation","INVINCIBLE is an adult animated superhero series that revolves around 17-year-old Mark Grayson, who’s just like every other guy his age – except his father is the most powerful superhero on the planet, Omni-Man. But as Mark develops powers of his own, he discovers his father’s legacy may not be as heroic as it seems.",amazon
Inventions that Shook the World,s2092,TV Show,Sin Dato,"Steve Herringer, Mark DeNicola",,2012,ALL,1,"Documentary, Special Interest","Go on a decade-by-decade voyage of discovery through life-changing inventions, like the radio that made the world smaller, the machine gun that made it more dangerous, or the parking meter that made it more expensive. Witness the discovery and creation of billion-dollar inventions and financial disasters - all players in the most innovative century the world has ever known.",amazon
Inspector Manara (English Subtitled),s2097,TV Show,Sin Dato,"Guido Caprino, Roberta Giarrusso, Anna Safroncik, Augusto Fornari, Lucia Ocone, Jane Alexander, Valeria Valeri",,2011,TV-NR,2,"International, Suspense","In Italian with English subtitles. In season 2, Inspector Manara learns to work without his colleague Lara, who is sent off for intelligence training. She's replaced by Inspector Marta Rivera, who hides a mystery Manara can't get a handle on.",amazon
Inside Men,s2099,TV Show,Sin Dato,"Steven Mackintosh, Warren Brown, Ashley Walters, Nicola Walker, Kierston Wareing",,2012,TV-14,1,Drama,"John Coniston is the scrupulous manager of a cash counting house. When he confronts two employees over missing money, they expect John to call the police, but John is about to offer them another option. Together these disillusioned men plan the perfect heist. But these are no seasoned criminals, just four ordinary men. Can they cope with the pressures of a big-time job?",amazon
Inside Jokes,s2101,TV Show,Sin Dato,"Alzo Slade, JC Currais, Daphnique Springs, Kellen Erskine, MK Paulsen, Robert Dean, Rosebud Baker, Simon Gibson",,2018,16+,1,"Arts, Entertainment, and Culture, Comedy, Unscripted","“Inside Jokes” follows unknown stand-up comics vying to make it into the world-famous Just for Laughs comedy festival in Montreal. Will their performances launch their careers into superstardom, just like New Faces alumni Pete Holmes and Colin Jost, or will they choke under pressure? For this group of comics, who have sacrificed much in pursuit of a dream, there is no bigger moment.",amazon
Inside Edge,s2103,TV Show,Sin Dato,"Richa Chadha, Vivek Anand Oberoi, Angad Bedi, Aamir Bashir, Tanuj Virwani, Sapna Pabbi, Amit Sial, Siddhant Chaturvedi, Sayani Gupta, Manu Rishi Chadha, Elli Avram, Jitin Gulati",India,2019,18+,2,"Drama, International, Sports","In the next edition of the PPL, a volatile Vayu Raghavan leads the Mumbai Mavericks to face their biggest adversary yet, the Arvind Vashisht-led Haryana Hurricanes. But they must also counter colossal scandals that’ll rock the world of cricket. In the sport’s upper echelons, Zarina Malik allies with Bhaisaab, but those in the shadows threaten to destroy the very game they seek to control.",amazon
